BEKI,Belted Kingfisher
BEPE,Bermuda Petrel
BESO,Bearded Screech-Owl
BETH,Bendire's Thrasher
BETR,Beautiful Treerunner
BEVI,Bell's Vireo
BEWP,Bearded Wood-Partridge
BEWQ,Black-eared Wood-Quail
BEWR,Bewick's Wren
BEYE,Belding's Yellowthroat
BFAG,Black-faced Grosbeak
BFAL,Black-footed Albatross
BFAN,Black-faced Antthrush
BFBO,Blue-footed Booby
BFFG,Buff-fronted Foliage-gleaner
BFGR,Black-faced Grassquit
BFPA,Blue-fronted Parrotlet
BFQD,Buff-fronted Quail-Dove
BFSO,Black-faced Solitaire
BGGN,Blue-gray Gnatcatcher
BGNO,Blue-gray Noddy
BGRA,Blue-black Grassquit
BGRO,Blue-black Grosbeak
BGTA,Blue-gray Tanager
BHCO,Brown-headed Cowbird
BHEA,Black-headed Antthrush
BHEP,Blue-headed Parrot
BHGR,Black-headed Grosbeak
BHGU,Black-headed Gull
BHHU,Blue-headed Hummingbird
BHNT,Black-headed Nightingale-Thrush
BHNU,Brown-headed Nuthatch
BHOA,Black-hooded Antshrike
BHOP,Brown-hooded Parrot
BHQD,Blue-headed Quail-Dove
BHSA,Black-headed Saltator
BHSI,Black-headed Siskin
BHTA,Bay-headed Tanager
BHTF,Black-headed Tody-Flycatcher
BHTR,Black-headed Trogon
BHVI,Blue-headed Vireo
BIAN,Bicolored Antbird
BIHA,Bicolored Hawk
BIOO,Bishop's Oo
BITH,Bicknell's Thrush
BLAG,Black Guan
BLAK,Black Kite
BLAN,Black Antshrike
BLBF,Black-billed Flycatcher
BLBH,Black-bellied Hummingbird
BLBR,Black Brant
BLBU,Blue Bunting
BLBW,Blackburnian Warbler
BLCA,Black Catbird
BLCO,Blue Cotinga
BLDA,Blue Dacnis
BLFR,Black Francolin
BLGD,Blue Ground-Dove
BLGR,Blue Grosbeak
BLGS,Blue Grouse (Dusky/Sooty) unidentifed
BLGU,Black Guillemot
BLHE,Black Hawk-Eagle
BLJA,Blue Jay
BLKI,Black-legged Kittiwake
BLMA,Black Mamo
BLMO,Blue Mockingbird
BLNO,Black Noddy
BLOR,Black Oropendola
BLOW,Bare-legged Owl
BLOY,Black Oystercatcher
BLPH,Black Phoebe
BLPW,Blackpoll Warbler
BLRA,Black Rail
BLRF,Black Rosy-Finch
BLSC,Black Scoter
BLSE,Blue Seedeater
BLSK,Black Skimmer
BLSP,Black Storm-Petrel
BLSW,Black Swift
BLTE,Black Tern
BLTH,Black Thrush
BLTU,Black Turnstone
BLUE,Bluethroat
